OrderID,Product,Quantity,UnitPrice,OrderDate,Region,Note
1001,Monitor,3.0,173.89,2026-04-01,South,
1002,Webcam,4.0,1233.57,2026-04-08,Central,
1003,USB-C Cable,3.0,261.74,2026-03-23,West,
1004,USB-C Cable,6.0,820.79,2026-03-31,North,Urgent
1005,Monitor,5.0,299.7,2026-04-15,Central,Gift wrap
1006,Monitor,3.0,85.56,2026-04-02,East,Urgent
1007,Headset,9.0,18.35,2026-04-10,Central,
1008,Webcam,3.0,840.83,2026-04-03,East,
1009,USB-C Cable,7.0,1072.59,2026-04-14,Central,
1010,Monitor,4.0,22.58,2026-03-30,West,
1011,Mouse,5.0,185.99,2026-03-30,South,Standard
1012,USB-C Cable,6.0,1158.7,2026-03-24,East,Standard
1013,USB-C Cable,2.0,747.4,2026-03-29,North,
1014,Headset,9.0,1378.89,2026-04-04,East,
1015,Mouse,9.0,,2026-03-21,North,Urgent
1016,Webcam,4.0,1315.43,2026-03-27,North,Gift wrap
1017,Mouse,4.0,111.05,2026-03-27,Central,Urgent
1018,Headset,9.0,74.71,2026-04-17,Central,Urgent
1019,USB-C Cable,8.0,1015.89,2026-04-01,East,
1020,Headset,8.0,531.36,2026-03-25,Central,Urgent
1021,Laptop,,1047.5,2026-03-31,North,Standard
1022,USB-C Cable,7.0,1421.68,2026-03-23,West,
1023,Mouse,8.0,234.51,2026-04-06,Central,
1024,Mouse,6.0,548.11,2026-04-01,North,
1025,Monitor,8.0,1376.77,2026-04-17,West,
1026,Mouse,1.0,440.64,2026-03-23,East,Gift wrap
1027,Monitor,3.0,1321.55,2026-03-23,West,
1028,Laptop,5.0,103.32,2026-03-29,North,
1029,Laptop,4.0,425.44,2026-04-12,South,Standard
1030,Webcam,2.0,1033.25,2026-04-10,West,
1031,Mouse,1.0,983.85,2026-03-19,East,Urgent
1032,Webcam,9.0,1042.68,2026-03-22,West,Standard
1033,Mouse,,1172.57,2026-03-31,East,Standard
1034,Webcam,6.0,1419.56,2026-03-21,Central,Standard
1035,Headset,5.0,621.11,2026-04-07,East,Urgent
1036,USB-C Cable,8.0,308.75,2026-04-15,Central,Standard
1037,Headset,6.0,545.52,2026-04-12,East,Urgent
1038,Keyboard,8.0,1073.09,2026-03-31,Central,Standard
1039,USB-C Cable,7.0,405.36,2026-04-16,West,
1040,Keyboard,6.0,1096.12,2026-04-07,South,
1041,Keyboard,9.0,241.08,2026-04-17,East,Urgent
1042,Headset,7.0,944.15,2026-04-09,North,Standard
1043,Headset,4.0,403.37,2026-04-11,West,Standard
1044,Monitor,8.0,1265.37,2026-04-04,West,Standard
1045,Headset,8.0,,2026-04-08,North,Standard
1046,Webcam,3.0,249.39,2026-04-08,East,Standard
1047,USB-C Cable,7.0,189.41,2026-03-23,South,
1048,Laptop,1.0,80.69,2026-03-28,East,
1049,Monitor,,444.69,2026-04-09,West,Standard
1050,Webcam,1.0,1162.04,2026-04-17,South,Gift wrap
1051,Laptop,8.0,1487.3,2026-03-30,West,Standard
